"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,219,"SUR","Suriname",1,"Brokopondo",1,"Brownsweg","SR.BR.BW",NA,"","Ressort","Ressort","",""
2,219,"SUR","Suriname",1,"Brokopondo",2,"Centrum","SR.BR.CB",NA,"","Ressort","Ressort","",""
3,219,"SUR","Suriname",1,"Brokopondo",3,"Klaaskreek","SR.BR.KK",NA,"","Ressort","Ressort","",""
4,219,"SUR","Suriname",1,"Brokopondo",4,"Kwakoegron","SR.BR.KW",NA,"","Ressort","Ressort","",""
5,219,"SUR","Suriname",1,"Brokopondo",5,"Marechalskreek","SR.BR.MK",NA,"","Ressort","Ressort","","Marshallkreek"
6,219,"SUR","Suriname",1,"Brokopondo",6,"Sarakreek","SR.BR.SK",NA,"","Ressort","Ressort","",""
7,219,"SUR","Suriname",2,"Commewijne",7,"Alkmaar","SR.CM.AM",NA,"","Ressort","Ressort","",""
8,219,"SUR","Suriname",2,"Commewijne",8,"Bakki","SR.CM.BK",NA,"","Ressort","Ressort","","Bakkie"
9,219,"SUR","Suriname",2,"Commewijne",9,"Margaretha","SR.CM.MG",NA,"","Ressort","Ressort","",""
10,219,"SUR","Suriname",2,"Commewijne",10,"Meerzorg","SR.CM.MZ",NA,"","Ressort","Ressort","",""
11,219,"SUR","Suriname",2,"Commewijne",11,"Nw. Amsterdam","SR.CM.NA",NA,"","Ressort","Ressort","","Nieuw Amsterdam"
12,219,"SUR","Suriname",2,"Commewijne",12,"Tamanredjo","SR.CM.TR",NA,"","Ressort","Ressort","",""
13,219,"SUR","Suriname",3,"Coronie",13,"Johanna Maria","SR.CR.JM",NA,"","Ressort","Ressort","",""
14,219,"SUR","Suriname",3,"Coronie",14,"Totness","SR.CR.TN",NA,"","Ressort","Ressort","",""
15,219,"SUR","Suriname",3,"Coronie",15,"Welgelegen","SR.CR.WL",NA,"","Ressort","Ressort","",""
16,219,"SUR","Suriname",4,"Marowijne",16,"Albina","SR.MA.AB",NA,"","Ressort","Ressort","",""
17,219,"SUR","Suriname",4,"Marowijne",17,"Galibi","SR.MA.GB",NA,"","Ressort","Ressort","",""
18,219,"SUR","Suriname",4,"Marowijne",18,"Moengo","SR.MA.MO",NA,"","Ressort","Ressort","",""
19,219,"SUR","Suriname",4,"Marowijne",19,"Moengotapoe","SR.MA.MT",NA,"","Ressort","Ressort","",""
20,219,"SUR","Suriname",4,"Marowijne",20,"Patamacca","SR.MA.PM",NA,"","Ressort","Ressort","",""
21,219,"SUR","Suriname",4,"Marowijne",21,"Wanhatti","SR.MA.WH",NA,"","Ressort","Ressort","",""
22,219,"SUR","Suriname",5,"Nickerie",22,"Groot Henar","SR.NI.GH",NA,"","Ressort","Ressort","",""
23,219,"SUR","Suriname",5,"Nickerie",23,"Nw . Nickerie","SR.NI.NN",NA,"","Ressort","Ressort","","Nieuw Nickerie"
24,219,"SUR","Suriname",5,"Nickerie",24,"Oostelijke Polders","SR.NI.OP",NA,"","Ressort","Ressort","",""
25,219,"SUR","Suriname",5,"Nickerie",25,"Wageningen","SR.NI.WN",NA,"","Ressort","Ressort","",""
26,219,"SUR","Suriname",5,"Nickerie",26,"Westelijke Polders","SR.NI.WP",NA,"","Ressort","Ressort","",""
27,219,"SUR","Suriname",6,"Para",27,"Bigi Poika","SR.PR.BP",NA,"","Ressort","Ressort","",""
28,219,"SUR","Suriname",6,"Para",28,"Carolina","SR.PR.CR",NA,"","Ressort","Ressort","",""
29,219,"SUR","Suriname",6,"Para",29,"Noord","SR.PR.ND",NA,"","Ressort","Ressort","",""
30,219,"SUR","Suriname",6,"Para",30,"Oost","SR.PR.OS",NA,"","Ressort","Ressort","",""
31,219,"SUR","Suriname",6,"Para",31,"Zuid","SR.PR.ZD",NA,"","Ressort","Ressort","",""
32,219,"SUR","Suriname",7,"Paramaribo",32,"Beekhuizen","SR.PM.BH",NA,"","Ressort","Ressort","",""
33,219,"SUR","Suriname",7,"Paramaribo",33,"Blauwgrond","SR.PM.BG",NA,"","Ressort","Ressort","",""
34,219,"SUR","Suriname",7,"Paramaribo",34,"Centrum","SR.PM.CP",NA,"","Ressort","Ressort","",""
35,219,"SUR","Suriname",7,"Paramaribo",35,"Flora","SR.PM.FL",NA,"","Ressort","Ressort","",""
36,219,"SUR","Suriname",7,"Paramaribo",36,"Latour","SR.PM.LT",NA,"","Ressort","Ressort","",""
37,219,"SUR","Suriname",7,"Paramaribo",37,"Livorno","SR.PM.LV",NA,"","Ressort","Ressort","",""
38,219,"SUR","Suriname",7,"Paramaribo",38,"Munder","SR.PM.MU",NA,"","Ressort","Ressort","",""
39,219,"SUR","Suriname",7,"Paramaribo",39,"Pontbuiten","SR.PM.PB",NA,"","Ressort","Ressort","",""
40,219,"SUR","Suriname",7,"Paramaribo",40,"Rainville","SR.PM.RA",NA,"","Ressort","Ressort","",""
41,219,"SUR","Suriname",7,"Paramaribo",41,"Tammenga","SR.PM.TG",NA,"","Ressort","Ressort","",""
42,219,"SUR","Suriname",7,"Paramaribo",42,"Weg Naar Zee","SR.PM.WS",NA,"","Ressort","Ressort","","Weg Naar See"
43,219,"SUR","Suriname",7,"Paramaribo",43,"Welgelegen","SR.PM.WG",NA,"","Ressort","Ressort","",""
44,219,"SUR","Suriname",8,"Saramacca",44,"Calcutta","SR.SA.CL",NA,"","Ressort","Ressort","",""
45,219,"SUR","Suriname",8,"Saramacca",45,"Groningen","SR.SA.GG",NA,"","Ressort","Ressort","",""
46,219,"SUR","Suriname",8,"Saramacca",46,"Jarikaba","SR.SA.JK",NA,"","Ressort","Ressort","",""
47,219,"SUR","Suriname",8,"Saramacca",47,"Kampong Baroe","SR.SA.KB",NA,"","Ressort","Ressort","",""
48,219,"SUR","Suriname",8,"Saramacca",48,"Tijgerkreek","SR.SA.TK",NA,"","Ressort","Ressort","",""
49,219,"SUR","Suriname",8,"Saramacca",49,"Wayambo Weg","SR.SA.WY",NA,"","Ressort","Ressort","","Wayamboweg"
50,219,"SUR","Suriname",9,"Sipaliwini",50,"Boven Suriname","SR.SI.BS",NA,"","Ressort","Ressort","",""
51,219,"SUR","Suriname",9,"Sipaliwini",51,"Bven Saramacca","SR.SI.BV",NA,"","Ressort","Ressort","","Boven Saramacca"
52,219,"SUR","Suriname",9,"Sipaliwini",52,"Coeroeni","SR.SI.CO",NA,"","Ressort","Ressort","",""
53,219,"SUR","Suriname",9,"Sipaliwini",53,"Coppename","SR.SI.BC",NA,"","Ressort","Ressort","","Boven Coppename"
54,219,"SUR","Suriname",9,"Sipaliwini",54,"Kabalebo","SR.SI.KA",NA,"","Ressort","Ressort","",""
55,219,"SUR","Suriname",9,"Sipaliwini",55,"Tapanahony","SR.SI.TP",NA,"","Ressort","Ressort","",""
56,219,"SUR","Suriname",10,"Wanica",56,"De Nieuwe Grond","SR.WA.NG",NA,"","Ressort","Ressort","",""
57,219,"SUR","Suriname",10,"Wanica",57,"Domburg","SR.WA.DO",NA,"","Ressort","Ressort","",""
58,219,"SUR","Suriname",10,"Wanica",58,"Houttuin","SR.WA.HO",NA,"","Ressort","Ressort","",""
59,219,"SUR","Suriname",10,"Wanica",59,"Koewarasan","SR.WA.KO",NA,"","Ressort","Ressort","",""
60,219,"SUR","Suriname",10,"Wanica",60,"Kwatta","SR.WA.KT",NA,"","Ressort","Ressort","",""
61,219,"SUR","Suriname",10,"Wanica",61,"Lelydorp","SR.WA.LD",NA,"","Ressort","Ressort","",""
62,219,"SUR","Suriname",10,"Wanica",62,"Saramaccapolder","SR.WA.SP",NA,"","Ressort","Ressort","","Saramacca Polder"
